Modality,Annotation Size,PSNR_loss
unet_shuffle_inception_no_progressive,30.0,
unet_shuffle_inception_no_progressive,102.0,
unet_shuffle_inception_no_progressive,160.666666667,
unet_shuffle_inception_no_progressive,307.666666667,
unet_shuffle_inception_no_progressive,385.666666667,
unet_shuffle_inception_no_progressive,437.333333333,
unet_shuffle_inception_no_progressive,514.0,
unet_shuffle_inception_no_progressive,568.333333333,
unet_shuffle_inception_no_progressive,605.0,
unet_shuffle_inception_no_progressive,687.666666667,
unet_shuffle_inception_no_progressive,739.333333333,
unet_shuffle_inception_no_progressive,736.0,
unet_shuffle_inception_no_progressive,776.0,
unet_shuffle_inception_no_progressive,740.333333333,
unet_shuffle_inception_no_progressive,662.0,
unet_shuffle_inception_no_progressive,536.333333333,
unet_shuffle_inception_no_progressive,393.0,
unet_shuffle_inception_no_progressive,316.333333333,
unet_shuffle_inception_no_progressive,265.333333333,
unet_shuffle_inception_no_progressive,143.666666667,
unet_shuffle_inception_no_progressive,59.5,
unet_shuffle_inception_no_progressive,46.6666666667,
unet_shuffle_inception_no_progressive,26.5,
unet_shuffle_inception_no_progressive,43.0,
unet_shuffle_inception_no_progressive,66.0,
unet_shuffle_inception_no_progressive,36.0,
unet_shuffle_inception_no_progressive,18.3333333333,
unet_shuffle_inception_no_progressive,79.3333333333,
unet_shuffle_inception_no_progressive,31.6666666667,
unet_shuffle_inception_no_progressive,92.3333333333,
unet_shuffle_inception_no_progressive,128.0,
unet_shuffle_inception_no_progressive,154.333333333,
unet_shuffle_inception_no_progressive,89.6666666667,
unet_shuffle_inception_no_progressive,19.5,
unet_shuffle_inception_no_progressive,143.0,
unet_shuffle_inception_no_progressive,133.333333333,
unet_shuffle_inception_no_progressive,85.6666666667,
unet_shuffle_inception_no_progressive,63.6666666667,
unet_shuffle_inception_no_progressive,51.6666666667,
unet_shuffle_inception_no_progressive,75.0,
unet_shuffle_inception_no_progressive,203.25,
unet_shuffle_inception_no_progressive,188.25,
unet_shuffle_inception_no_progressive,111.0,
unet_shuffle_inception_no_progressive,16.3333333333,
unet_shuffle_inception_no_progressive,43.3333333333,
unet_shuffle_inception_no_progressive,134.75,
unet_shuffle_inception_no_progressive,242.25,
unet_shuffle_inception_no_progressive,316.5,
unet_shuffle_inception_no_progressive,334.8,
unet_shuffle_inception_no_progressive,421.6,
unet_shuffle_inception_no_progressive,646.5,
unet_shuffle_inception_no_progressive,720.75,
unet_shuffle_inception_no_progressive,753.5,
unet_shuffle_inception_no_progressive,826.5,
unet_shuffle_inception_no_progressive,806.5,
unet_shuffle_inception_no_progressive,736.5,
unet_shuffle_inception_no_progressive,697.5,
unet_shuffle_inception_no_progressive,659.25,
unet_shuffle_inception_no_progressive,560.25,
unet_shuffle_inception_no_progressive,466.25,
unet_shuffle_inception_no_progressive,347.25,
unet_shuffle_inception_no_progressive,215.5,
unet_shuffle_inception_no_progressive,130.666666667,
unet_shuffle_inception_no_progressive,62.0,
unet_shuffle_inception_no_progressive,76.0,
unet_shuffle_inception_no_progressive,99.0,
unet_shuffle_inception_no_progressive,182.0,
unet_shuffle_inception_no_progressive,323.0,
unet_shuffle_inception_no_progressive,472.0,
unet_shuffle_inception_no_progressive,506.0,
unet_shuffle_inception_no_progressive,529.0,
unet_shuffle_inception_no_progressive,534.0,
unet_shuffle_inception_no_progressive,567.0,
unet_shuffle_inception_no_progressive,441.0,
unet_shuffle_inception_no_progressive,445.0,
unet_shuffle_inception_no_progressive,561.0,
unet_shuffle_inception_no_progressive,589.0,
unet_shuffle_inception_no_progressive,575.0,
unet_shuffle_inception_no_progressive,523.0,
unet_shuffle_inception_no_progressive,350.0,
unet_shuffle_inception_no_progressive,383.0,
unet_shuffle_inception_no_progressive,358.0,
unet_shuffle_inception_no_progressive,327.0,
unet_shuffle_inception_no_progressive,290.0,
unet_shuffle_inception_no_progressive,21.3333333333,
unet_shuffle_inception_no_progressive,56.75,
unet_shuffle_inception_no_progressive,68.75,
unet_shuffle_inception_no_progressive,70.0,
unet_shuffle_inception_no_progressive,62.5,
unet_shuffle_inception_no_progressive,49.75,
unet_shuffle_inception_no_progressive,198.0,
unet_shuffle_inception_no_progressive,128.5,
unet_shuffle_inception_no_progressive,176.5,
unet_shuffle_inception_no_progressive,177.5,
unet_shuffle_inception_no_progressive,205.0,
unet_shuffle_inception_no_progressive,189.5,
unet_shuffle_inception_no_progressive,201.0,
unet_shuffle_inception_no_progressive,207.5,
unet_shuffle_inception_no_progressive,175.0,
unet_shuffle_inception_no_progressive,192.0,
unet_shuffle_inception_no_progressive,160.5,
unet_shuffle_inception_no_progressive,279.0,
unet_shuffle_inception_no_progressive,291.0,
unet_shuffle_inception_no_progressive,263.0,
unet_shuffle_inception_no_progressive,299.0,
unet_shuffle_inception_no_progressive,285.0,
unet_shuffle_inception_no_progressive,267.0,
unet_shuffle_inception_no_progressive,230.0,
unet_shuffle_inception_no_progressive,216.0,
unet_shuffle_inception_no_progressive,189.0,
unet_shuffle_inception_no_progressive,187.0,
unet_shuffle_inception_no_progressive,159.0,
unet_shuffle_inception_no_progressive,148.0,
unet_shuffle_inception_no_progressive,166.0,
unet_shuffle_inception_no_progressive,106.0,
unet_shuffle_inception_no_progressive,19.3333333333,
unet_shuffle_inception_no_progressive,24.75,
unet_shuffle_inception_no_progressive,31.5,
unet_shuffle_inception_no_progressive,23.75,
unet_shuffle_inception_no_progressive,69.75,
unet_shuffle_inception_no_progressive,78.25,
unet_shuffle_inception_no_progressive,83.75,
unet_shuffle_inception_no_progressive,94.25,
unet_shuffle_inception_no_progressive,71.0,
unet_shuffle_inception_no_progressive,35.5,
unet_shuffle_inception_no_progressive,36.25,
unet_shuffle_inception_no_progressive,80.75,
unet_shuffle_inception_no_progressive,57.5,
unet_shuffle_inception_no_progressive,93.6666666667,
