Modality,Annotation Size,TP
unet_shuffle_inception_no_progressive,400.5,1.45412298025e-06
unet_shuffle_inception_no_progressive,429.25,5.86372152611e-06
unet_shuffle_inception_no_progressive,454.75,2.92968215945e-05
unet_shuffle_inception_no_progressive,457.5,7.52455016482e-05
unet_shuffle_inception_no_progressive,447.0,0.000118960459076
unet_shuffle_inception_no_progressive,432.25,0.000413350964664
unet_shuffle_inception_no_progressive,400.0,0.000675514747854
unet_shuffle_inception_no_progressive,367.75,0.000378999626264
unet_shuffle_inception_no_progressive,305.0,0.951105641609874
unet_shuffle_inception_no_progressive,213.5,1.87129478579e-10
unet_shuffle_inception_no_progressive,109.5,2.0465856928000001e-13
unet_shuffle_inception_no_progressive,5.0,9.944034323468098e-05
unet_shuffle_inception_no_progressive,16.5,0.113551038550325
unet_shuffle_inception_no_progressive,11.5,0.009136010835395501
unet_shuffle_inception_no_progressive,41.0,8.070642259562382
unet_shuffle_inception_no_progressive,61.3333333333,3.5719254659233332e-06
unet_shuffle_inception_no_progressive,72.6666666667,4.66761684947e-06
unet_shuffle_inception_no_progressive,72.0,0.00058139432894772
unet_shuffle_inception_no_progressive,70.3333333333,9.79856213235e-06
unet_shuffle_inception_no_progressive,30.6666666667,0.0002567473695603047
unet_shuffle_inception_no_progressive,33.5,7.668178359022215
unet_shuffle_inception_no_progressive,34.5,0.000287120723442
unet_shuffle_inception_no_progressive,36.5,0.0006573350983717649
unet_shuffle_inception_no_progressive,36.875,6.32369863888e-16
unet_shuffle_inception_no_progressive,58.25,38.4324569702
unet_shuffle_inception_no_progressive,21.5,16.9481773376
unet_shuffle_inception_no_progressive,28.3333333333,0.001582281342505685
unet_shuffle_inception_no_progressive,73.0,28.328805937414955
unet_shuffle_inception_no_progressive,61.0,20.368026375801243
unet_shuffle_inception_no_progressive,42.0,6.130210866814698
unet_shuffle_inception_no_progressive,43.5,6.297180825964731e-05
unet_shuffle_inception_no_progressive,6.66666666667,0.00515274470672
unet_shuffle_inception_no_progressive,40.25,14.060564219938
unet_shuffle_inception_no_progressive,37.25,19.2612571716
unet_shuffle_inception_no_progressive,30.75,3.77651872441e-06
unet_shuffle_inception_no_progressive,44.6666666667,1.48852095663e-05
unet_shuffle_inception_no_progressive,87.6666666667,0.00037441338099585
unet_shuffle_inception_no_progressive,105.0,0.0109667582437
unet_shuffle_inception_no_progressive,23.5,0.0029863239105930002
unet_shuffle_inception_no_progressive,36.1666666667,5.1048315072e-05
unet_shuffle_inception_no_progressive,36.4,0.000569663650822
unet_shuffle_inception_no_progressive,32.6666666667,1.90112114051318e-05
unet_shuffle_inception_no_progressive,70.5,1.2262973839500002e-12
unet_shuffle_inception_no_progressive,150.5,7.25972792992e-09
unet_shuffle_inception_no_progressive,71.25,1.8048066929855e-09
unet_shuffle_inception_no_progressive,44.0,3.5229426658224834
unet_shuffle_inception_no_progressive,34.0,0.0002760003034470877
unet_shuffle_inception_no_progressive,91.0,1.44640729949e-10
unet_shuffle_inception_no_progressive,15.3333333333,0.00364298466593
unet_shuffle_inception_no_progressive,29.25,0.842812478542
unet_shuffle_inception_no_progressive,33.25,0.898733615875
unet_shuffle_inception_no_progressive,16.25,0.005826240871104296
unet_shuffle_inception_no_progressive,58.75,4.36466325482e-05
