Modality,Annotation Size,FN
unet_shuffle_inception_no_progressive,15.3333333333,15.9963579178
unet_shuffle_inception_no_progressive,29.25,15.1571874619
unet_shuffle_inception_no_progressive,33.25,27.101266861
unet_shuffle_inception_no_progressive,16.25,17.99417376518
unet_shuffle_inception_no_progressive,58.75,3.99995660782
unet_shuffle_inception_no_progressive,86.25,96.9988098145
unet_shuffle_inception_no_progressive,146.25,166.931381226
unet_shuffle_inception_no_progressive,201.5,83.7383499146
unet_shuffle_inception_no_progressive,225.0,31.8522891998
unet_shuffle_inception_no_progressive,247.5,43.1249656677
unet_shuffle_inception_no_progressive,257.0,170.47215271
unet_shuffle_inception_no_progressive,265.75,102.951843262
unet_shuffle_inception_no_progressive,278.0,224.59048080425
unet_shuffle_inception_no_progressive,199.25,188.930725098
unet_shuffle_inception_no_progressive,147.75,182.971511841
unet_shuffle_inception_no_progressive,73.6666666667,4.99992609024
unet_shuffle_inception_no_progressive,39.0,24.48333698512
unet_shuffle_inception_no_progressive,32.3333333333,27.992480278000002
unet_shuffle_inception_no_progressive,9.5,2.99999952316
unet_shuffle_inception_no_progressive,77.25,70.76142883305
unet_shuffle_inception_no_progressive,93.5,138.999984741
unet_shuffle_inception_no_progressive,30.0,30.427936826442856
unet_shuffle_inception_no_progressive,102.0,124.0
unet_shuffle_inception_no_progressive,160.666666667,195.0
unet_shuffle_inception_no_progressive,307.666666667,294.0
unet_shuffle_inception_no_progressive,385.666666667,402.0
unet_shuffle_inception_no_progressive,437.333333333,468.0
unet_shuffle_inception_no_progressive,514.0,533.0
unet_shuffle_inception_no_progressive,568.333333333,625.0
unet_shuffle_inception_no_progressive,605.0,590.0
unet_shuffle_inception_no_progressive,687.666666667,649.0
unet_shuffle_inception_no_progressive,739.333333333,699.0
unet_shuffle_inception_no_progressive,736.0,755.0
unet_shuffle_inception_no_progressive,776.0,776.0
unet_shuffle_inception_no_progressive,740.333333333,679.0
unet_shuffle_inception_no_progressive,662.0,638.0
unet_shuffle_inception_no_progressive,536.333333333,537.0
unet_shuffle_inception_no_progressive,393.0,364.0
unet_shuffle_inception_no_progressive,316.333333333,309.0
unet_shuffle_inception_no_progressive,265.333333333,294.0
unet_shuffle_inception_no_progressive,143.666666667,113.0
unet_shuffle_inception_no_progressive,59.5,51.33331044513333
unet_shuffle_inception_no_progressive,46.6666666667,44.3510322571
unet_shuffle_inception_no_progressive,26.5,27.9999141693
unet_shuffle_inception_no_progressive,43.0,41.942859649666666
unet_shuffle_inception_no_progressive,66.0,48.52204259236667
unet_shuffle_inception_no_progressive,36.0,33.749921560275
unet_shuffle_inception_no_progressive,18.3333333333,4.99999237061
unet_shuffle_inception_no_progressive,79.3333333333,98.9987182617
unet_shuffle_inception_no_progressive,31.6666666667,22.9968147278
unet_shuffle_inception_no_progressive,92.3333333333,47.7178726196
unet_shuffle_inception_no_progressive,128.0,95.39884567255001
unet_shuffle_inception_no_progressive,154.333333333,92.4369888306
unet_shuffle_inception_no_progressive,89.6666666667,68.12651443485001
unet_shuffle_inception_no_progressive,19.5,22.278293609633334
unet_shuffle_inception_no_progressive,143.0,137.0436706545
unet_shuffle_inception_no_progressive,133.333333333,81.0791854858
unet_shuffle_inception_no_progressive,85.6666666667,72.7737503052
unet_shuffle_inception_no_progressive,63.6666666667,51.9998016357
unet_shuffle_inception_no_progressive,51.6666666667,56.9996490479
unet_shuffle_inception_no_progressive,75.0,48.008390426649996
unet_shuffle_inception_no_progressive,203.25,183.14616394
unet_shuffle_inception_no_progressive,188.25,128.808349609
unet_shuffle_inception_no_progressive,111.0,127.999702454
unet_shuffle_inception_no_progressive,16.3333333333,7.209747552895
unet_shuffle_inception_no_progressive,43.3333333333,48.56816482545
unet_shuffle_inception_no_progressive,134.75,141.999984741
unet_shuffle_inception_no_progressive,242.25,317.999969482
unet_shuffle_inception_no_progressive,316.5,263.999908447
unet_shuffle_inception_no_progressive,334.8,375.999664307
unet_shuffle_inception_no_progressive,421.6,535.998535156
unet_shuffle_inception_no_progressive,646.5,629.996398926
unet_shuffle_inception_no_progressive,720.75,901.997314453
unet_shuffle_inception_no_progressive,753.5,760.997497559
unet_shuffle_inception_no_progressive,826.5,882.998046875
unet_shuffle_inception_no_progressive,806.5,883.998474121
unet_shuffle_inception_no_progressive,736.5,613.997314453
unet_shuffle_inception_no_progressive,697.5,820.996582031
unet_shuffle_inception_no_progressive,659.25,732.995910645
unet_shuffle_inception_no_progressive,560.25,448.9921875
unet_shuffle_inception_no_progressive,466.25,369.971923828
unet_shuffle_inception_no_progressive,347.25,395.768798828
unet_shuffle_inception_no_progressive,215.5,130.901550293
unet_shuffle_inception_no_progressive,130.666666667,153.986541748
unet_shuffle_inception_no_progressive,62.0,63.248730659475
unet_shuffle_inception_no_progressive,76.0,76.0
unet_shuffle_inception_no_progressive,99.0,98.9999542236
unet_shuffle_inception_no_progressive,182.0,182.0
unet_shuffle_inception_no_progressive,323.0,323.0
unet_shuffle_inception_no_progressive,472.0,472.0
unet_shuffle_inception_no_progressive,506.0,506.0
unet_shuffle_inception_no_progressive,529.0,529.0
unet_shuffle_inception_no_progressive,534.0,534.0
unet_shuffle_inception_no_progressive,567.0,567.0
unet_shuffle_inception_no_progressive,441.0,441.0
unet_shuffle_inception_no_progressive,445.0,445.0
unet_shuffle_inception_no_progressive,561.0,561.0
unet_shuffle_inception_no_progressive,589.0,529.5
unet_shuffle_inception_no_progressive,575.0,575.0
