Modality,Annotation Size,Sensitivity
lpd_unet_0_1,356.5,0.5582264053779747
lpd_unet_0_1,132.25,0.0229003318559449
lpd_unet_0_1,86.5,4.552885625876856e-05
lpd_unet_0_1,119.0,0.10440331723351924
lpd_unet_0_1,112.5,5.528605650878101e-05
lpd_unet_0_1,140.0,2.4618734268005827e-05
lpd_unet_0_1,29.0,0.001251671543217663
lpd_unet_0_1,51.0,0.0013675191663428646
lpd_unet_0_1,131.0,0.0
lpd_unet_0_1,212.25,0.0
lpd_unet_0_1,260.0,0.0
lpd_unet_0_1,341.25,0.0
lpd_unet_0_1,378.75,0.0
lpd_unet_0_1,400.5,0.0
lpd_unet_0_1,429.25,0.0
lpd_unet_0_1,454.75,0.0
lpd_unet_0_1,457.5,0.0
lpd_unet_0_1,447.0,0.0
lpd_unet_0_1,432.25,0.0
lpd_unet_0_1,400.0,0.0
lpd_unet_0_1,367.75,0.0
lpd_unet_0_1,305.0,1.7615748417717687e-06
lpd_unet_0_1,213.5,0.0
lpd_unet_0_1,109.5,0.0
lpd_unet_0_1,5.0,6.981003521057757e-08
lpd_unet_0_1,16.5,5.450921968955558e-06
lpd_unet_0_1,11.5,0.0007557007174542631
lpd_unet_0_1,41.0,0.2002900185710496
lpd_unet_0_1,61.3333333333,0.006678298882889236
lpd_unet_0_1,72.6666666667,0.0016078082116572
lpd_unet_0_1,72.0,0.0007035255213754029
lpd_unet_0_1,70.3333333333,0.0007598007295745
lpd_unet_0_1,30.6666666667,0.0002285386994806039
lpd_unet_0_1,33.5,0.0004393947472514095
lpd_unet_0_1,34.5,3.5890006178789234e-05
lpd_unet_0_1,36.5,1.7947735751608303e-05
lpd_unet_0_1,36.875,6.325491797479015e-06
lpd_unet_0_1,58.25,0.0069514287072014
lpd_unet_0_1,21.5,0.0022878577161235
lpd_unet_0_1,28.3333333333,2.8821324341889793e-05
lpd_unet_0_1,73.0,0.4691569380563891
lpd_unet_0_1,61.0,0.030459737306948897
lpd_unet_0_1,42.0,0.0039845280660781275
lpd_unet_0_1,43.5,0.001592618066366902
lpd_unet_0_1,6.66666666667,4.216921548943851e-05
lpd_unet_0_1,40.25,0.00039470464870558004
lpd_unet_0_1,37.25,0.0004362112447524
lpd_unet_0_1,30.75,1.433918187903408e-05
