Modality,Annotation Size,TN
lpd_unet_0_1,482.75,261541.34375
lpd_unet_0_1,444.0,261622.359375
lpd_unet_0_1,322.5,261697.65625
lpd_unet_0_1,267.75,261804.484375
lpd_unet_0_1,231.5,261791.53125
lpd_unet_0_1,92.5,261910.328125
lpd_unet_0_1,246.5,261391.390625
lpd_unet_0_1,308.0,261490.03125
lpd_unet_0_1,381.0,261254.140625
lpd_unet_0_1,540.75,261132.1875
lpd_unet_0_1,605.75,261048.71875
lpd_unet_0_1,678.5,261245.34375
lpd_unet_0_1,700.25,261305.90625
lpd_unet_0_1,759.25,261222.8125
lpd_unet_0_1,777.5,261403.03125
lpd_unet_0_1,787.0,261283.0078125
lpd_unet_0_1,775.5,261202.3125
lpd_unet_0_1,720.5,261417.78125
lpd_unet_0_1,674.75,261327.84375
lpd_unet_0_1,406.25,261624.84375
lpd_unet_0_1,338.25,261674.234375
lpd_unet_0_1,288.5,261918.234375
lpd_unet_0_1,257.25,261879.5
lpd_unet_0_1,197.25,261797.28125
lpd_unet_0_1,93.25,262006.546875
lpd_unet_0_1,89.75,262067.859375
lpd_unet_0_1,119.142857143,262031.09375
lpd_unet_0_1,295.75,261775.2734375
lpd_unet_0_1,490.0,261538.796875
lpd_unet_0_1,585.75,261405.796875
lpd_unet_0_1,685.5,261190.234375
lpd_unet_0_1,754.25,261058.734375
lpd_unet_0_1,798.25,261235.28125
lpd_unet_0_1,811.0,261366.984375
lpd_unet_0_1,782.5,261344.125
lpd_unet_0_1,776.5,261279.0
lpd_unet_0_1,772.0,261240.40625
lpd_unet_0_1,746.5,261258.734375
lpd_unet_0_1,689.25,261233.84375
lpd_unet_0_1,608.5,261255.5625
lpd_unet_0_1,489.5,261421.125
lpd_unet_0_1,310.25,261592.78125
lpd_unet_0_1,228.25,261854.359375
lpd_unet_0_1,91.8571428571,261957.03125
lpd_unet_0_1,103.25,262085.296875
lpd_unet_0_1,129.0,261994.0625
lpd_unet_0_1,132.0,261985.0625
lpd_unet_0_1,122.5,262026.328125
lpd_unet_0_1,199.0,261917.4375
lpd_unet_0_1,294.0,261848.40625
lpd_unet_0_1,546.0,261585.734375
lpd_unet_0_1,739.0,261263.421875
lpd_unet_0_1,1009.0,261109.84375
lpd_unet_0_1,1127.0,260995.75
lpd_unet_0_1,625.0,261422.109375
lpd_unet_0_1,621.0,261445.265625
lpd_unet_0_1,1221.0,260884.78125
lpd_unet_0_1,1142.0,260900.5
lpd_unet_0_1,1020.0,260912.59375
lpd_unet_0_1,75.1666666667,262053.6875
lpd_unet_0_1,123.0,261915.65625
lpd_unet_0_1,75.75,262047.53125
lpd_unet_0_1,77.3333333333,262046.234375
lpd_unet_0_1,72.1666666667,262066.234375
lpd_unet_0_1,165.333333333,261896.71875
lpd_unet_0_1,314.333333333,261702.34375
lpd_unet_0_1,219.8,261624.171875
lpd_unet_0_1,236.833333333,261363.640625
lpd_unet_0_1,269.5,261544.140625
lpd_unet_0_1,265.25,261728.859375
lpd_unet_0_1,306.0,261560.25
lpd_unet_0_1,240.666666667,261565.828125
lpd_unet_0_1,90.6666666667,261670.59375
